Value,Rechercheweg
Amt für Statistik Berlin-Brandenburg,contact_name
VBB - Verkehrsverbund Berlin-Brandenburg GmbH,contact_name
Abt. für Technikunterstützte Informationsverarbeitung,contact_name
Amt für Statistik und Wahlen,contact_name
Amt für Umweltschutz,contact_name
"Behörde für Arbeit, Gesundheit, Soziales, Familie und Integration",contact_name
"Behörde für Arbeit, Gesundheit, Soziales, Familie und Integration, Jobcenter team.arbeit.hamburg",contact_name
"Behörde für Arbeit, Soziales, Familie und Integration",contact_name
"Behörde für Arbeit, Soziales, Familie und Integration, Pressestelle",contact_name
Behörde für Gesundheit und Verbraucherschutz,contact_name
"Behörde für Gesundheit und Verbraucherschutz, Institut für Hygiene und Umwelt",contact_name
"Behörde für Gesundheit und Verbraucherschutz, Institut für Hygiene und Umwelt, Bereich Umweltuntersuchungen",contact_name
"Behörde für Gesundheit und Verbraucherschutz, Institut für Hygiene und Umwelt, Bereich Umweltuntersuchungen, Abteilung Wasser, Boden, Abfall, Gentechnik",contact_name
Behörde für Inneres und Sport,contact_name
"Behörde für Inneres und Sport, Polizei Hamburg, Polizei Hamburg - IT21",contact_name
"Behörde für Stadtentwicklung und Wohnen (BSW), Amt für Landesplanung und Stadtentwicklung",contact_name
"Behörde für Stadtentwicklung und Wohnen (BSW), Amt für Landesplanung und Stadtentwicklung, Bauforum",contact_name
"Behörde für Stadtentwicklung und Wohnen (BSW), Amt für Landesplanung und Stadtentwicklung, Bauleitplanung (LP 2), Digitalisierung der Bauleitplanung (LP 23)",contact_name
"Behörde für Stadtentwicklung und Wohnen (BSW), Amt für Landesplanung und Stadtentwicklung, Bauleitplanung (LP 2), Flächennutzungsplanung (LP 22)",contact_name
"Behörde für Stadtentwicklung und Wohnen (BSW), Amt für Landesplanung und Stadtentwicklung, Landes- und Stadtentwicklung (LP 2), Verfahrensmanagement und Grundsatz der Bauleitplanung",contact_name
"Behörde für Stadtentwicklung und Wohnen (BSW), Amt für Landesplanung und Stadtentwicklung, Projekte (LP 3)",contact_name
"Behörde für Stadtentwicklung und Wohnen (BSW), Amt für Landesplanung und Stadtentwicklung, Projektgruppe Sprung über die Elbe",contact_name
"Behörde für Stadtentwicklung und Wohnen (BSW), Amt für Wohnen, Stadterneuerung und Bodenordnung",contact_name
"Behörde für Stadtentwicklung und Wohnen (BSW), Präsidialabteilung (BSW), Öffentlichkeitarbeit und Kommunikation",contact_name
"Behörde für Stadtentwicklung und Wohnen (BSW), Wohnungsbaukoordination - WoK",contact_name
"Behörde für Umwelt und Energie (BUE), Amt für Immissionsschutz und Betriebe",contact_name
"Behörde für Umwelt und Energie (BUE), Energie und Klima (E), E1 - Energie, E 13 - Erneuerbare Energien - Wärmekonzepte, Wärmekataster Hamburg",contact_name
"Behörde für Umwelt und Energie (BUE), Immissionsschutz und Abfallwirtschaft (I)",contact_name
"Behörde für Umwelt und Energie (BUE), Immissionsschutz und Abfallwirtschaft (I), Fluglärmschutzbeauftragte, Planerischer Immissionsschutz",contact_name
"Behörde für Umwelt und Energie (BUE), Immissionsschutz und Abfallwirtschaft (I), Fluglärmschutzbeauftragte, Planerischer Immissionsschutz, Lärmbekämpfung, Fluglärm",contact_name
"Behörde für Umwelt und Energie (BUE), Naturschutz, Grünplanung und Bodenschutz (N), N1 - Landschaftsplanung und Stadtgrün, N 11 - Ressourcensteuerung und Fachaufsicht",contact_name
"Behörde für Umwelt und Energie (BUE), Naturschutz, Grünplanung und Bodenschutz (N), N1 - Landschaftsplanung und Stadtgrün, N 12 - Qualitätssicherung Stadtgrün",contact_name
"Behörde für Umwelt und Energie (BUE), Naturschutz, Grünplanung und Bodenschutz (N), N1 - Landschaftsplanung und Stadtgrün, N 13 - Gesamtstädtische Freiraumentwicklung",contact_name
"Behörde für Umwelt und Energie (BUE), Naturschutz, Grünplanung und Bodenschutz (N), N2 - Bodenschutz und Altlasten, N21 - Grundsatz, Bodenschutzplanung, Informationssysteme",contact_name
"Behörde für Umwelt und Energie (BUE), Naturschutz, Grünplanung und Bodenschutz (N), N2 - Bodenschutz/Altlasten, Grundsatz, Bodenschutzplanung, Informationssysteme",contact_name
"Behörde für Umwelt und Energie (BUE), Naturschutz, Grünplanung und Bodenschutz (N), N3 - Naturschutz",contact_name
"Behörde für Umwelt und Energie (BUE), Naturschutz, Grünplanung und Bodenschutz (N), N3 - Naturschutz, N 32 - Eingriffsregelung, Sondervermögen Naturschutz und Landschaftspflege",contact_name
"Behörde für Umwelt und Energie (BUE), Naturschutz, Grünplanung und Bodenschutz (N), N3 - Naturschutz, N 33 - Arten- und Biotopschutz",contact_name
"Behörde für Umwelt und Energie (BUE), Wasser, Abwasser und Geologie (W)",contact_name
"Behörde für Umwelt und Energie (BUE), Wasser, Abwasser und Geologie (W), Geologisches Landesamt",contact_name
"Behörde für Umwelt und Energie (BUE), Wasser, Abwasser und Geologie (W), Geologisches Landesamt, Angewandte Geowissenschaften - Information und Beratung",contact_name
