Value,Rechercheweg
Bezirksamt Friedrichshain-Kreuzberg von Berlin - Vermessung,publisher_name
aachen,publisher_name
Amt für Geoinformation und Bodenordnung,publisher_name
"Archäologisches Museum Hamburg, Bodendenkmalpflege",publisher_name
"BA Mitte, OE QPK",publisher_name
"Behörde für Inneres und Sport, Polizei Hamburg",publisher_name
"Behörde für Inneres und Sport, Polizei Hamburg, Pressestelle, PÖA 1",publisher_name
Behörde für Justiz und Gleichstellung,publisher_name
Behörde für Schule und Berufsbildung,publisher_name
Behörde für Stadtentwicklung und Umwelt,publisher_name
Behörde für Stadtentwicklung und Wohnen,publisher_name
Behörde für Stadtentwicklung und Wohnen (BSW),publisher_name
"Behörde für Stadtentwicklung und Wohnen (BSW), Amt für Landesplanung und Stadtentwicklung, Landes- und Stadtentwicklung (LP 2)",publisher_name
Behörde für Umwelt und Energie,publisher_name
Behörde für Umwelt und Energie (BUE),publisher_name
"Behörde für Umwelt und Energie (BUE), Energie und Klima (E), E1 - Energie, E 13 - Erneuerbare Energien - Wärmekonzepte",publisher_name
"Behörde für Umwelt und Energie (BUE), Naturschutz, Grünplanung und Bodenschutz (N)",publisher_name
"Behörde für Umwelt und Energie (BUE), Naturschutz, Grünplanung und Bodenschutz (N), N1 - Landschaftsplanung und Stadtgrün",publisher_name
"Behörde für Umwelt und Energie (BUE), Naturschutz, Grünplanung und Bodenschutz (N), N2 - Bodenschutz und Altlasten",publisher_name
"Behörde für Umwelt und Energie (BUE), Naturschutz, Grünplanung und Bodenschutz (N), N2 - Bodenschutz/Altlasten",publisher_name
"Behörde für Umwelt und Energie (BUE), Präsidialabteilung (BUE), P 3 - Öffentlichkeitsarbeit und Kommunikation, P 32 - Presse und Online-Kommunikation",publisher_name
"Behörde für Umwelt, Klima, Energie und Agrarwirtschaft (BUKEA)",publisher_name
"Behörde für Umwelt, Klima, Energie und Agrarwirtschaft (BUKEA), Immissionsschutz und Abfallwirtschaft (I)",publisher_name
"Behörde für Umwelt, Klima, Energie und Agrarwirtschaft (BUKEA), Naturschutz, Grünplanung und Bodenschutz (N)",publisher_name
"Behörde für Umwelt, Klima, Energie und Agrarwirtschaft (BUKEA), Naturschutz, Grünplanung und Bodenschutz (N), N2 - Bodenschutz und Altlasten",publisher_name
"Behörde für Umwelt, Klima, Energie und Agrarwirtschaft (BUKEA), Wasser, Abwasser und Geologie (W)",publisher_name
"Berliner Wasserbetriebe, Organisationseinheit: Wasserversorgung",publisher_name
BerlinOnline Stadtportal GmbH & Co KG,publisher_name
"Bezirksamt Charlottenburg-Wilmersdorf von Berlin, Umwelt- und Naturschutzamt",publisher_name
"Bezirksamt Friedrichshain-Kreuzberg von Berlin, Abteilung Bauen, Planen und Facility ManagementServiceeinheit Facility ManagementFachbereich Hochbauservice Energiemanagement, FM-Hoch 4.EWG",publisher_name
Bezirksamt Friedrichshain-Kreuzberg/ Bezirksbürgermeisterbüro,publisher_name
Bezirksamt Friedrichshain-Kreuzberg/ Jugendamt,publisher_name
Bezirksamt Lichtenberg - Stadtentwicklungsamt,publisher_name
"Bezirksamt Lichtenberg, Abteilung Personal, Finanzen, Immobilien und Kultur Serviceeinheit Facility Management",publisher_name
Bezirksamt Marzahn-Hellersdorf von Berlin Jugendamt,publisher_name
"Bezirksamt Marzahn-Hellersdorf von Berlin, SE Facility Management",publisher_name
